ACRES,BOROUGH,LOCATION,SIGNNAME,TYPECATEGORY,URL,ZIPCODE
0.08,B,Madison St. between Franklin Ave. and Bedford Ave.,Madison Street Block Association,Garden,http://www.nycgovparks.org/parks/B482/,11216
0.165,B,Madison St. between Wilson Ave. and Knickerbocker Ave.,Madison Square Garden Association,Garden,http://www.nycgovparks.org/parks/B481/,11221
0.068,B,Lefferts Pl. between Classon Ave. and Franklin Ave.,Lefferts Pl Block Association,Garden,http://www.nycgovparks.org/parks/B479/,11238
104.6,Q,"61 Ave. bet. Marathon Pkwy., Commonwealth Blvd. and 242 St.",Douglaston Park Golf Course,Managed Sites,http://www.nycgovparks.org/parks/Q411/,11362
0.028,B,Herkimer St. and Suydam Pl.,F.A.R.R. Community Garden,Garden,http://www.nycgovparks.org/parks/B532/,11233
0.188,B,Jerome St. to Barbey St. between Pitkin Ave. and Glenmore Ave.,Mw United Orient Grand Lodge,Garden,http://www.nycgovparks.org/parks/B521/,11207
0.165,B,Vernon Ave. between Nostrand Ave. and Marcy Ave.,Vernon Cases Community Garden,Garden,http://www.nycgovparks.org/parks/B508/,11206
0.116,B,Ralph Ave. and Sterling Pl.,Sterling Community Group,Garden,http://www.nycgovparks.org/parks/B505/,11233
0.23,B,Legion St. and Blake Ave.,Fantasy Garden,Garden,http://www.nycgovparks.org/parks/B463/,11212
1.4,X,"Lane Ave., E. Tremont Ave., Westchester Ave.",Owen F. Dolen Park,Neighborhood Park,http://www.nycgovparks.org/parks/X016/,10461
1.17,B,Wythe Ave. bet. Grand St. and S. 1 St.,William Sheridan Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B124/,11211
9.134,B,"Russell St., Monitor St. bet. Nassau Ave. and Driggs Ave.",Msgr. McGolrick Park,Neighborhood Park,http://www.nycgovparks.org/parks/B114/,11222
2.476,R,Victory Blvd. and Glen St.,Sylvan Grove Cemetery,Cemetery,http://www.nycgovparks.org/parks/R156/,10314
1.821,B,Taaffe Pl. bet. Park Ave. and Myrtle Ave.,Taaffe Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B105/,11205
2.027,Q,Skillman Ave. bet. 41 St. and 43 St.,Torsney Playground,Playground,http://www.nycgovparks.org/parks/Q340/,11104
1.359,X,S/S E 176 St bet. Crotona Av and Prospect Av,Admiral Farragut Playground,Playground,http://www.nycgovparks.org/parks/X148H/,10457
0.47,X,Prospect Ave. bet. N/B Cross Bronx Exwy. and Fairmount Pl.,Fairmount Playground,Triangle/Plaza,http://www.nycgovparks.org/parks/X148H2/,10460
0.511,X,E. 175 St. bet. Bathgate Ave. and 3 Ave.,Park,Undeveloped,http://www.nycgovparks.org/parks/X148F2/,10457
0.636,R,"Drumgoole Rd. W., Grantwood Ave., Carlton Ave., Rathbun Ave.",Drumgoole Tot Lot,Playground,http://www.nycgovparks.org/parks/R100/,10312
1.13,B,3 Ave. bet. 35 St. and 34 St.,D'Emic Playground,Playground,http://www.nycgovparks.org/parks/B210B/,11232
0.14,X,"S/B Cross Bronx Exwy Service Rd, St Lawrence Av, E 174 St",St. Lawrence Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/X148K2/,10472
0.138,X,"S/B Cross Bronx Exwy Service Rd, McGraw Av, Taylor Av",Park,Triangle/Plaza,http://www.nycgovparks.org/parks/X148K4/,10472
0.442,X,"N/B Cross Bronx Exwy Service Rd, Watson Av, Havemeyer Ave",Havemeyer Playground,Playground,http://www.nycgovparks.org/parks/X148M1/,10462
0.913,X,Jackson Ave. bet. E. 151 St. and E. 149,Pontiac Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/X207/,10455
0.002,B,4 Ave. bet. BQE and 64 St.,Park,Strip,http://www.nycgovparks.org/parks/B210N/,11220
0.027,X,N/B Cross Bronx Exwy bet. Marimon Av and Crotona Pkwy,Park,Strip,http://www.nycgovparks.org/parks/X148I/,10460
0.126,X,"Lincoln Av, Third Av, bet. E 137 St and E 138 St",Graham Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/X023/,10451
0.401,X,E. 138 St. bet. Cypress Ave. and St Ann's Ave.,St. Luke's Park,Garden,http://www.nycgovparks.org/parks/X277/,10454
0.92,X,E. 139 St. bet. Brook Ave. and Willis Ave.,Saw Mill Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/X238/,10454
4.712,M,Henry Hudson Pkwy. bet. St Clair Pl. and W. 135 St.,West Harlem Piers,Waterfront Facility,http://www.nycgovparks.org/parks/M376/,1002410027
9.395,X,Throgg's Neck Exwy at Pennyfield Ave. and Elisworth Ave.,Bicentennial Veterans Memorial Park,Neighborhood Park,http://www.nycgovparks.org/parks/X191A/,10465
0.2395329,Q,Beach 43 St. and Conch Dr.,Park,Undeveloped,,11691
0.192,M,"E. 1 St., E. Houston St., 1 Ave. and Allen St.",Peretz Square,Triangle/Plaza,http://www.nycgovparks.org/parks/M123/,10003
0.006,Q,"51 Rd., Queens-Mid-Town Exwy., 47 St.",Park,Strip,http://www.nycgovparks.org/parks/Q360C/,11377
0.118,Q,"Broadway, 59 St., 34 Ave.",Sergeant Collins Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q501/,11377
0.07,Q,"73 St., 57 Rd., Queens - Mid-Town Exwy. Sr. Rd. N.",Quick Brown Fox Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q360S/,11378
0.09,Q,"58 Ave., 73 St., Queens - Mid-Town Exwy. Sr. Rd. S.",Sitting Area,Triangle/Plaza,http://www.nycgovparks.org/parks/Q360R/,11378
181.923,R,West Shore Exwy. to Kill Van Kull from River Rd. to South Ave.,Saw Mill Creek Marsh,Nature Area,http://www.nycgovparks.org/parks/R130/,10314
0.005,Q,Behind overpass at 61 St. and Borden Ave.,Park Slope,Strip,http://www.nycgovparks.org/parks/Q360P/,11378
21.10936646,X,East River,South Brother Island,Nature Area,http://www.nycgovparks.org/parks/X309/,10021
0.006,X,North and South of the Bruckner Expressway at Puglsey Av,Park,Strip,http://www.nycgovparks.org/parks/X195D/,1047210473
0.023,X,N/B Cross Bronx Exwy bet. Crotona Pkwy and Daly Av,Park,Strip,http://www.nycgovparks.org/parks/X148I2/,10460
1.984,M,E. River bet. E. 59 St. and E. 63 St.,Andrew Haswell Green Park,Neighborhood Park,http://www.nycgovparks.org/parks/M108Q1/,1002210065
0.11,X,E. 141 St. bet. Willis Ave. and Alexander Ave.,Alexander's Alley,Neighborhood Park,http://www.nycgovparks.org/parks/X119/,10454
0.188,M,E. 120 St. and Paladino Ave. (Service Rd To FDR Dr.),Park,Strip,http://www.nycgovparks.org/parks/M108J/,10035
0.133,X,Commerce Ave. bet. Butler Pl. and Westchester Ave.,Ferris Family Burial Plot,Cemetery,http://www.nycgovparks.org/parks/X312/,10461
0.345,M,"W. 165 St., Amsterdam Ave. To Audubon Ave.",McKenna Square,Triangle/Plaza,http://www.nycgovparks.org/parks/M156/,10032
0.055,M,Jane St. at 8th Ave.,Jane Street Garden,Garden,,10014
0.295,B,Howard Ave. bet. Atlantic Ave. and  Herkimer St.,Weeksville Playground,Playground,http://www.nycgovparks.org/parks/B093/,11233
0.049,R,Lucille Ave. at Vetrands Rd. E. and Bloomingdale Rd.,Park,Triangle/Plaza,,10309
1.2,Q,"133 Ave., 135 Ave. bet. 143 St. and 145 St.",Hilton Holiday Gardens,Recreational Field/Courts,http://www.nycgovparks.org/parks/Q440/,11436
3.622,Q,"26 Ave., bet. 1 St. and 2 St.",Whitey Ford Field,Recreational Field/Courts,http://www.nycgovparks.org/parks/Q215/,11102
1.377,X,E 164 St bet. Teller Av and Clay Av at Park Ave,Arcilla Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/X219/,1045110456
0.054,M,E 11 St. bet. Ave. B and Ave. C,11 BC Serenity Garden,Garden,,10009
2.524,Q,"45 Ave., 45 Rd. bet. 11 St. and 21 St.",Murray Playground,Neighborhood Park,http://www.nycgovparks.org/parks/Q141/,11101
1.034,B,Mc Kibbin St. bet. White St. and Bogart St.,Gilbert Ramirez Park,Neighborhood Park,http://www.nycgovparks.org/parks/B132/,11206
3.56,B,"Albany Ave., E. 40 St. bet. Farragut Rd. and Foster Ave.",Paerdegat Park,Community Park,http://www.nycgovparks.org/parks/B218/,11203
0.073,B,St Mark's Ave. bet. Schenectady Ave. and Utica Ave,Neighborhood Community Garden,Garden,,11213
1.381,X,Melrose Ave. bet. E. 162 St. and E. 163 St.,Melrose Commons Park,Neighborhood Park,http://www.nycgovparks.org/parks/X350/,10451
0.072,X,E. 188 St. at 3 Ave. and Washington Ave.,Flood Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/X061/,10458
0.174,M,47 St. bet. 8 Ave. and 9 Ave.,Ramon Aponte Park,Playground,http://www.nycgovparks.org/parks/M288/,10036
253.168,M,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",Riverside Park,Community Park,http://www.nycgovparks.org/parks/M071/,100231002410025
0.035,B,Halleck St. at Columbia St.,Todd Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B126A/,11231
0.115,Q,Inwood St. bet. Shore Ave. and Lakewood Ave.,Block Association #81,Garden,http://www.nycgovparks.org/parks/Q487/,11435
0.092,Q,115 Dr. bet. Sutphin Blvd. and 155 St.,B.C.C.A. Mini-park and Garden,Garden,http://www.nycgovparks.org/parks/Q486/,11434
0.19,X,Woodycrest Av bet. W 167 St and W 166 St,Las Casitas Community Garden,Garden,http://www.nycgovparks.org/parks/X328/,10452
3.333,R,Mill Rd. to Weed Ave. bet. Tysens La. and Isernia Ave.,Gerard P. Dugan Playground,Community Park,http://www.nycgovparks.org/parks/R026/,10306
0.029,M,E. 7 St. bet. Ave. C and Ave. D,Sam and Sadie Koenig Garden,Garden,http://www.nycgovparks.org/parks/M370/,10009
0.101,Q,"Corona Ave. bet. 104 St. and 106 St., 50 Av.",Corona Health Sanctuary,Playground,http://www.nycgovparks.org/parks/Q483/,11368
0.007,X,N/B and S/B Bruckner Blvd bet. Brinsmade Av and Swinton Av,Park,Strip,http://www.nycgovparks.org/parks/X195C/,10465
0.142,Q,25 Ave. bet. 79 St. and 80 St.,Laguardia Landing Lights,Undeveloped,http://www.nycgovparks.org/parks/Q393B/,11370
8.108,R,Glenwood Pl. bet. Clove Rd. and Broadway,Barrett Park,Buildings/Institutions,http://www.nycgovparks.org/parks/R003/,10310
0.027,B,"Knickerbocker Ave., Myrtle Ave., Bleecker St.",Heisser Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B045/,11237
4.635,Q,"Francis Lewis Blvd., 121 Ave. bet. 219 St. and 222 St.",Cambria Playground,Community Park,http://www.nycgovparks.org/parks/Q339/,11411
1.5,Q,Hoover Ave. bet. Queens Blvd. and 132 St.,Maple Grove Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q220F/,11415
0.065,Q,"94 St., Jackson Mill Rd. bet. 23 Ave. and 24 Ave.",Jackson Mill Green,Triangle/Plaza,http://www.nycgovparks.org/parks/Q186/,11369
0.207,Q,"Kneeland Ave., Grand Ave. bet. Manilla St. and Haspel St.",Grand Slope,Triangle/Plaza,http://www.nycgovparks.org/parks/Q151/,11373
0.071,Q,"Broadway, 69 St., 37 Ave.",Pigeon Paradise,Triangle/Plaza,http://www.nycgovparks.org/parks/Q067/,11377
0.214,Q,"Skillman Ave., Roosevelt Ave. bet. 55 St. and 56 St.",Steinmann Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q061/,11377
0.044,Q,"Woodside Ave., 58 St., Roosevelt Ave.",Sohncke Square,Triangle/Plaza,http://www.nycgovparks.org/parks/Q057/,11377
0.1,Q,"National St., 42 Ave., 102 St.",Veteran's Square,Triangle/Plaza,http://www.nycgovparks.org/parks/Q055/,11368
0.5,X,"Riverdale Ave., Henery hudson Pkwy., W. 239 St.",Bell Tower Park,Triangle/Plaza,http://www.nycgovparks.org/parks/X110D/,10471
0.191,B,"Blake Ave., Tapscott St., Howard Ave.",Howard Malls,Triangle/Plaza,http://www.nycgovparks.org/parks/B182/,11212
0.001,B,"E. 12 St., Kings Hwy., Quentin Rd.",Sgt. Joyce Kilmer Square,Triangle/Plaza,http://www.nycgovparks.org/parks/B094/,11229
0.11,B,"Pacific St., Washington Ave., Underhill Ave.",Lowry Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B089/,11238
1.02,R,Virginia Ave. and Anderson St.,Kaltenmeier Playground,Neighborhood Park,http://www.nycgovparks.org/parks/R042/,10305
26.532,R,Brighton Ave. bet. Lafayette Ave. and N. Randall Ave.,Goodhue Park,Neighborhood Park,,10301
0.06,M,E. 3 St. bet. Ave. B and Ave. C,Brisas Del Caribe,Garden,http://www.nycgovparks.org/parks/M334/,10009
0.05,M,E. 4 St. and Ave C.,The Secret Garden,Garden,http://www.nycgovparks.org/parks/M332/,10009
2.76,B,"Wilson Ave., Knickerbocker Ave., bet. Halsey St. and Weirfield St.",Irving Square Park,Neighborhood Park,http://www.nycgovparks.org/parks/B049/,11207
0.492,Q,Jackson Ave. bet. Court Sq. and Thomson Ave.,Court Square Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q267/,11101
7.395,R,"Wild Ave., Pearson St., Melvin Ave.",Schmul Park,Neighborhood Park,http://www.nycgovparks.org/parks/R045/,10314
0.918,R,"High St., Lyman Ave., Bay St. and Summer St.",John E. White Park,Neighborhood Park,http://www.nycgovparks.org/parks/R012/,10305
3.024,R,"Victory Blvd., Louis St., Howard Ave.",Hero Park,Neighborhood Park,http://www.nycgovparks.org/parks/R011/,10301
1.48,Q,64 Ave. bet. 218 St. and 219 St.,Tall Oak Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q317/,11364
0.759,Q,Little Neck Pkwy. bet. 42 Ave. and 43 Ave.,Admiral Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q338/,11363
1.964,Q,56 Ave. bet. 201 St. and 202 St.,Saul Weprin Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q293/,11364
0.574,Q,"78 St., 79 St. bet. Northern Blvd. and 34 Ave.",Rory Staunton Field,Recreational Field/Courts,,11372
0.385,M,"W. 25 St., 9 Ave. To 10 Ave.",Chelsea Recreation Center,Buildings/Institutions,http://www.nycgovparks.org/parks/M260/,10001
0.563,M,"Ave. A, E. 3 St. to E. 4 St.",McKinley Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/M259/,10009
0.489,M,W. 22 St. and 10 Ave.,Clement Clarke Moore Park,Neighborhood Park,http://www.nycgovparks.org/parks/M257/,10011
0.043,M,St James Pl. and Oliver St.,St. James Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/M247/,10038
1.427,Q,"Van Wyck Exwy. Sr. Rd. E., 142 St., 106 Ave.",Norelli-Hargreaves Playground,Playground,http://www.nycgovparks.org/parks/Q220B/,11435
0.994,M,Leonard St. bet. Centre St. and Lafayette St.,Collect Pond Park,Triangle/Plaza,http://www.nycgovparks.org/parks/M242/,10013
0.834,M,"E. 117 St. To E. 118 St., 1 Ave. To 2 Ave.",P.S. 155 Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/M239/,10035
0.715,M,"Amsterdam Ave., W. 104 St. and W. 105 St.",Bloomingdale Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/M238/,10025
0.074,Q,"Jamaica Ave., Hempstead Ave. bet. 212 Pl and 213 St.",Litchhult Square,Triangle/Plaza,http://www.nycgovparks.org/parks/Q208/,11429
30.168,B,"Myrtle Ave., De Kalb Ave. bet. Washington Park and St. Edward's St.",Fort Greene Park,Community Park,http://www.nycgovparks.org/parks/B032/,1120111205
11.193,R,Richmond Ter. bet. Van Pelt Ave. and Van Name Ave.,Richmond Terrace Park,Nature Area,http://www.nycgovparks.org/parks/R167/,10303
6.563,R,"SI Expressway, Woodward Ave., Wooley Ave. and Westwood Ave.",Westwood Park,Nature Area,http://www.nycgovparks.org/parks/R075B/,10314
1.719,Q,Northern Blvd. bet. 93 St. and 94 St.,Northern Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q363/,11372
1.25,Q,"89 St., 90 St. bet. Northern Blvd. and Jackson Mill Rd.",Playground Ninety,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q362/,11369
0.039,B,Malcolm X Blvd. and Quincy St.,Patrick Van Doren Pocket Park,Garden,http://www.nycgovparks.org/parks/B500/,11221
0.183,B,New Jersey Ave. between Dumont Ave. and Blake Ave.,St John Cantius Parish,Garden,http://www.nycgovparks.org/parks/B492/,11207
0.172,B,79-85 Montauk St,Shield Of Faith,Garden,http://www.nycgovparks.org/parks/B491/,11208
0.104,B,Marcy Ave. and Willoughby Ave.,Red Gate Garden,Garden,http://www.nycgovparks.org/parks/B488/,11206
0.83,Q,Beach Channel Dr. bet. B. 116 St. and B. 117 St.,Tribute Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q028A/,11694
0.03,X,N/B Cross Bronx Exwy Exit Ramp bet. Boone Av and W Farms Rd,Boone Slope,Strip,http://www.nycgovparks.org/parks/X148J2/,10460
1.43,R,"N. Gannon Ave., Willow Road E., Victory Blvd., Wyona Ave.",Gaeta Park,Triangle/Plaza,http://www.nycgovparks.org/parks/R126/,10314
0.016,X,"Freeman St, Longfellow Av, W Farms Rd",Freeman Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/X134/,10459
0.12,X,3 Ave. at Franklin Ave.,Franklin Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/X078/,10456
0.06,X,"E. 164 St., Boston Rd., 3 Ave.",Park,Triangle/Plaza,http://www.nycgovparks.org/parks/X056/,10456
0.383,X,Fulton Av to Franklin Av bet. E 167 St and E 166 St,Hines Park,Playground,http://www.nycgovparks.org/parks/X026/,10456
1.322,X,Aldus St to Bruckner Blvd bet. Bryant Av and Longfellow Av,Lyons Square Playground,Playground,http://www.nycgovparks.org/parks/X029/,10459
0.681,X,Rogers Pl. at Dawson St.,Dawson Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/X164/,10459
0.032,X,Rev James Polite Av bet. E 164 St and E 165 St,Schomberg Academy Garden,Garden,http://www.nycgovparks.org/parks/X332/,10459
0.017,X,S/B Cross Bronx Expressway bet. Anthony Av and Carter Av,Park,Strip,http://www.nycgovparks.org/parks/X148F5/,10457
0.05,Q,"College Pl., College Pt. Blvd., bet. 11 Ave. and 12 Ave.",Poppenhusen Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q042/,11356
26.83,Q,"130 St. bet., 23rd Ave. and 26 Ave.",College Point Fields,Recreational Field/Courts,http://www.nycgovparks.org/parks/Q476/,1135411356
7.738,X,Beck St bet. Interval Av and Longwood Av,Bill Rainey Park,Recreational Field/Courts,http://www.nycgovparks.org/parks/X255/,10459
2.2,B,"Fulton St., York St., Washington St. and  Prospect St.; Brooklyn Bridge",Anchorage Plaza,Triangle/Plaza,http://www.nycgovparks.org/parks/B223I/,11201
0.213,X,E. 176 St. bet. Walton Ave. and Morris Ave.,176th Street Community Garden,Garden,http://www.nycgovparks.org/parks/X324/,10453
0.006,Q,"Elmhurst Ave., Roosevelt Ave., 90 St., Case St.",Triangle 90,Undeveloped,http://www.nycgovparks.org/parks/Q068/,11373
0.09,M,Bradhurst Ave. and W. 152 St.,Bradhurst Ave Garden,Garden,http://www.nycgovparks.org/parks/M333/,10039
0.106,M,E. 8 St. bet. Ave. B and Ave. C,Earth People,Garden,http://www.nycgovparks.org/parks/M324/,10009
2.223,R,"Annadale Rd. bet. Laredo Ave. and Lamoka Ave., Memphis Ave.",Laredo Avenue Parcel,Nature Area,http://www.nycgovparks.org/parks/R161/,10312
0.069,M,Edgecombe Ave. and W. 150 St.,Sugar Hill Garden,Garden,http://www.nycgovparks.org/parks/M319A/,10031
2.064,B,Eastern Pkwy. bet. Ralph Ave. and Bushwick Ave.,Eastern Parkway Extension,Mall,http://www.nycgovparks.org/parks/B030/,1120711233
635.514,Q,"Little Neck Bay to Springfield Blvd, Union Tpke",Alley Pond Park,Flagship Park,http://www.nycgovparks.org/parks/Q001/,1136111362113631136411426
0.299,B,Patchen Ave. between Monroe St. and Madison St.,Citizens For A Better Community,Garden,http://www.nycgovparks.org/parks/B224A/,11221
2.937,Q,N. Conduit Ave. bet. Lefferts Blvd. and 122 St.,Lefferts Playground,Playground,http://www.nycgovparks.org/parks/Q096E/,11420
0.005,Q,"Myrtle Ave., Cooper Ave., 70 St.",Glendale Veterans Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q075/,11385
0.032,Q,"Astoria Blvd., 97 St. and Jackson Mill Rd.",Trolley Car Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q070/,11369
0.002,Q,"Corona Ave., 90 St., 48 Ave.",Middleburgh Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q069/,11373
0.254,Q,"43 Ave., Roosevelt Ave. bet. 50 St., 51 St. and 52 St.",John Vincent Daniels Jr. Square,Triangle/Plaza,http://www.nycgovparks.org/parks/Q065/,11377
0.027,Q,"Woodhaven Blvd., 63 Dr., Penelope Ave.",Fleetwood Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q062/,11374
0.003,Q,"82 St., Ithaca St., Baxter Ave.",Dunningham Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q058/,11373
1.314,B,"N/B Prospect Exwy., 17 St., bet. 6 Ave. and 7 Ave.",Detective Joseph Mayrose Park,Neighborhood Park,http://www.nycgovparks.org/parks/B255F/,11215
0.736,B,"S/B Prospect Exwy. bet. 6 Ave., 7 Ave., and 18 St.",Park,Triangle/Plaza,http://www.nycgovparks.org/parks/B255E/,11215
0.29,B,Stuyvesant Ave. and Fulton St.,Elizabeth Stroud Playground,Playground,http://www.nycgovparks.org/parks/B200/,11233
0.029,B,"New Utrecht Ave., 9 Ave., 39 St.",Heffernan Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B172/,11219
0.25,Q,"N. Conduit Ave., Sutter Ave. bet. 77 St. and 78 St.",Judge Angelo Graci Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q424/,11417
0.3,R,South Clove Rd. and Richmond Rd.,South Clove Road Cemetery,Cemetery,http://www.nycgovparks.org/parks/R155/,10304
0.061,B,Bradford St. between Dumont Ave. and Livonia Ave.,Ps 53,Garden,http://www.nycgovparks.org/parks/B485/,11207
3.5,X,W. 254 St. bet. Riverdale Ave. and Mosholu Ave.,Vinmont Veteran Park,Jointly Operated Playground,http://www.nycgovparks.org/parks/X152/,10471
1.25,R,Carlton Blvd. and Crown Ave.,Carlton Park,Nature Area,http://www.nycgovparks.org/parks/R152/,10312
0.28,B,3 Ave. bet. Hamilton Ave. and 16 St.,Triangle Three Sixteen,Triangle/Plaza,http://www.nycgovparks.org/parks/B210G/,11215
0.076,M,"Broadway, W. 46 St. To W. 47 St., 7 Ave.",Father Duffy Square,Triangle/Plaza,http://www.nycgovparks.org/parks/M093/,10036
1.137,R,"Bowen St., Vanderbilt Ave., Targee St.",Sobel Court Park,Playground,http://www.nycgovparks.org/parks/R144/,10304
0.079,M,"S/s W. Houston St., Ave. of Americas",Playground of the Americas,Playground,http://www.nycgovparks.org/parks/M120B/,10014
0.705,B,Linwood St. bet. New Lots Ave. and Hegeman Ave.,Linwood Playground,Playground,http://www.nycgovparks.org/parks/B149B/,11208
0.019,Q,"54 Ave., Jay Ave., and 69 St.",Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q500/,11378
0.057,B,"Quentin Rd., Kings Hwy., W. 9 St.",Ketchum Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B160/,11223
0.38,X,White Plains Rd. bet. E. 213 St. and E. 215 St.,D'Onofrio Square,Triangle/Plaza,http://www.nycgovparks.org/parks/X084/,10467
0.361,M,"Pearl St., Madison St. and St James Pl.",James Madison Plaza,Triangle/Plaza,http://www.nycgovparks.org/parks/M255/,10038
10.735,X,New England Thruway bet. Co-op City Blvd. and Rombouts Ave,Givans Creek Woods,Nature Area,http://www.nycgovparks.org/parks/X268/,10475
1.607,Q,"80 St., 81 St. bet. 24 Ave. and 25 Ave.",LaGuardia Landing Lights,Recreational Field/Courts,http://www.nycgovparks.org/parks/Q393D/,11370
0.025,Q,"43 Ave. bet. 66 St. and 67 St., BQE",Latham Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q341B/,11377
1,X,E. 174 St. bet. Bronx River Ave. and E. 173 St.,Captain William Harry Thompson Playground,Neighborhood Park,http://www.nycgovparks.org/parks/X159/,10472
0.034,M,E. 93 St. and FDR Dr.,Park,Triangle/Plaza,http://www.nycgovparks.org/parks/M108H/,10128
0.459,B,Livonia Ave. between Powell St. and Junius St.,Powell Street Livonia Garden,Garden,http://www.nycgovparks.org/parks/B516/,11212
3.4,Q,30 Ave to Astoria Blvd. on BQE,St. Michael's Park,Strip,http://www.nycgovparks.org/parks/Q174/,11377
0.23,B,Strauss St. bet. E. New York Ave. and Pitkin Ave.,Marcus Garvey Tenant's Assoc. Garden,Garden,http://www.nycgovparks.org/parks/B510/,11212
0.275,B,Cleveland St. between Hegeman Ave. and New Lots Ave.,Family Community Garden,Garden,http://www.nycgovparks.org/parks/B462/,11208
0.177,B,Greene Ave. between Classon Ave. and Franklin Ave.,Cedar Tree Garden,Garden,http://www.nycgovparks.org/parks/B448/,11238
3.169,B,"Bay Ridge Ave., Shore Rd., Upper Bay",American Veterans Memorial Pier,Waterfront Facility,http://www.nycgovparks.org/parks/B432/,11220
0.22,Q,"37 Ave., 14 St., 21 St.",Sixteen Oaks Grove,Triangle/Plaza,http://www.nycgovparks.org/parks/Q284/,11101
4.863,Q,Seagirt Blvd bet. B. 12 St. and B. 9 St.,Beach 9 Playground,Neighborhood Park,http://www.nycgovparks.org/parks/Q162J01/,11691
19.693,Q,Beach 72 St. bet. Bayfields Ave. and Hillmeyer Ave.,Brant Point Wildlife Sanctuary,Nature Area,http://www.nycgovparks.org/parks/Q464/,11692
4.3,M,"E Houston St, Stanton St, Sheriff St, Pitt St",Hamilton Fish Park,Community Park,http://www.nycgovparks.org/parks/M033/,10002
0.002,B,92 St. bet. Gowanus Exwy. and Ft. Hamilton Pkwy.,Park,Strip,http://www.nycgovparks.org/parks/B210U/,11209
0.185,Q,"55 Dr., Hamilton Pl., Perry Ave.",Whitefish Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q360G/,11378
1.37,Q,"Van Wyck Exwy. Sr. Rd. E., 140 St. bet. 120 Ave. and Rockaway Blvd.",Playground One Forty,Playground,http://www.nycgovparks.org/parks/Q220E/,11436
23.093,M,"W. 145 St., W. 155 St., Hudson River",Recreational Area,Community Park,http://www.nycgovparks.org/parks/M140/,1003110032
0.001,Q,Woodhaven Blvd. bet. 76 Ave. and 78 Ave.,Park,Strip,http://www.nycgovparks.org/parks/Q409/,11385
0.013,Q,"Myrtle Ave., Cypress Ave., Putnam Ave.",Myrtle Avenue Clemens Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q124/,11385
0.14,Q,Astoria Blvd. bet. 90 St. and 89 St.,One Room Schoolhouse Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q116/,11369
1.16,Q,Hoyt Ave. bet. 19 St. and 21 St.,Sitting Area,Triangle/Plaza,http://www.nycgovparks.org/parks/Q066G/,11102
1.016,Q,"74 St., 75 St. bet. Cooper Ave. and 78 Ave.",Pinocchio Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q289/,11385
1.326,X,Walnut Ave. bet. E. 138 St. and E. 137 St.,5 Borough Shops,Managed Sites,,10454
0.711,B,17 St. bet. 5 Ave. and 6 Ave.,Purple Playground,Playground,http://www.nycgovparks.org/parks/B255C/,11215
